City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
305,harstad,68.799,16.5293,7.31,95,44,16.09,NO,1684953147
306,vorgashor,67.5833,63.95,9.32,77,1,3.47,RU,1684953147
307,freetown,8.484,-13.2299,29.84,79,40,6.17,SL,1684953147
308,thinadhoo,0.5333,72.9333,28.43,74,100,3.13,MV,1684953149
309,sabha,27.0377,14.4283,31.59,8,91,4.88,LY,1684953150
310,sechura,-5.5569,-80.8222,28.56,58,51,4.75,PE,1684953150
311,colonia,50.9333,6.95,14.97,61,0,3.09,DE,1684952882
312,flin flon,54.7682,-101.865,15.91,41,75,4.12,CA,1684953151
313,onega,63.9061,38.1404,14.64,64,0,2.0,RU,1684953152
314,vientiane,17.9667,102.6,28.91,79,34,1.68,LA,1684953023
315,kouango,4.9934,19.9619,26.81,62,62,1.08,CF,1684953152
316,at taj,24.2049,23.2857,31.02,10,99,5.81,LY,1684953152
317,petropavlovsk-kamchatsky,53.0452,158.6483,1.33,87,20,3.0,RU,1684953051
318,la passe,45.5549,-0.8967,21.13,67,100,7.12,FR,1684953153
319,muynoq,43.7683,59.0214,22.04,44,2,4.97,UZ,1684953153
320,kalmunai,7.4167,81.8167,26.96,81,2,3.63,LK,1684953153
321,ratnapura,6.6828,80.3992,24.75,95,9,0.64,LK,1684953154
322,betio village,1.358,172.9211,27.02,87,100,4.29,KI,1684953154
323,vilyuysk,63.7553,121.6247,1.67,61,93,1.99,RU,1684953155
324,broome,42.2506,-75.833,22.21,52,75,7.72,US,1684953155
325,arno,60.1167,18.6333,12.1,52,72,6.05,SE,1684953155
326,cabo san lucas,22.8909,-109.9124,33.17,25,40,6.69,MX,1684953155
327,bathsheba,13.2167,-59.5167,30.34,74,40,4.12,BB,1684953155
328,fale old settlement,-9.3852,-171.2468,27.17,78,60,2.22,TK,1684953156
329,formosa do rio preto,-11.0483,-45.1931,32.74,31,51,4.24,BR,1684953156
330,helena valley southeast,46.6153,-111.9216,19.88,56,20,3.09,US,1684953156
331,klyuchi,52.2667,79.1667,14.99,45,25,3.92,RU,1684953157
332,codrington,-38.2667,141.9667,14.45,49,100,8.41,AU,1684953157
333,karoi,-16.8099,29.6925,16.32,59,0,0.86,ZW,1684953157
334,aasiaat,68.7098,-52.8699,-0.13,74,67,4.46,GL,1684953158
335,piti village,13.4626,144.6933,26.49,94,100,14.92,GU,1684953158
336,val-d'or,48.1002,-77.7828,5.05,65,75,7.2,CA,1684952942
337,peterhead,57.5058,-1.7981,14.22,82,3,4.1,GB,1684953158
338,camacupa,-12.0167,17.4833,17.42,39,5,2.05,AO,1684953159
339,tommot,58.9564,126.2925,1.54,84,76,0.45,RU,1684953159
340,aioun,16.6614,-9.6149,37.9,14,93,5.4,MR,1684953160
341,bereznik,62.8551,42.7072,15.14,86,100,2.35,RU,1684953160
342,alice springs,-23.7,133.8833,4.75,70,0,2.0,AU,1684953161
343,inhambane,-23.865,35.3833,21.89,77,0,5.08,MZ,1684953161
344,barclayville,4.6797,-8.2339,26.59,88,100,2.98,LR,1684953161
345,kudymkar,59.0173,54.656,17.31,58,35,2.74,RU,1684953103
346,kotido,2.9806,34.1331,21.6,74,37,2.61,UG,1684953161
347,utrik,11.2278,169.8474,27.39,79,98,6.66,MH,1684953161
348,san antonio de pale,-1.4014,5.6325,26.95,85,100,3.0,GQ,1684953161
349,ingeniero guillermo n. juarez,-23.9,-61.85,30.96,42,92,6.95,AR,1684953161
350,kangding,30.0513,101.9603,12.21,84,99,1.83,CN,1684953162
351,axim,4.8699,-2.2405,26.84,86,100,3.08,GH,1684953162
352,dampit,-8.2116,112.7493,21.19,98,82,1.42,ID,1684953162
353,gamba,-2.65,10.0,25.47,92,100,2.32,GA,1684953162
354,manismata,-2.4667,111.0333,23.6,94,100,0.9,ID,1684953162
355,udachny,66.4167,112.4,1.36,80,96,4.83,RU,1684953162
356,nova vicosa,-17.8919,-39.3719,23.74,85,12,6.07,BR,1684953162
357,pailon,-17.65,-62.75,31.5,63,100,4.89,BO,1684953162
358,adamovka,51.5223,59.9396,17.62,41,6,2.58,RU,1684953163
359,hami,42.8,93.45,20.77,18,0,6.29,CN,1684953163
360,haisyn,48.8114,29.3898,16.72,86,70,2.15,UA,1684953163
361,chegdomyn,51.1167,133.0167,10.17,94,21,1.35,RU,1684953133
362,homer,59.6425,-151.5483,10.43,78,100,2.68,US,1684952880
363,haiku-pauwela,20.9219,-156.3051,25.02,67,20,7.72,US,1684953163
